,elements,papername,author,year,state,charge,defect,Ed,title,doi,measurement_technique,defectID,Ed_a,Ed_h,dEd_h,isbn,comments,k,sample.growth,sample.dopant,sample.incorporation,sigma_ha,sigma_ea,dEd_a,e_h,sample.resistivity,measurement_details.Ur,measurement_data.T,measurement_data.e,sigma_h,dsigma_e,sigma_e,measurement_details.T,measurement_details.tp,dEd,dk,measurement_details.single_shot,dsigma_ea,issn,linked,c_e,c_h,e_e,measurement_details.Up,measurement_details.Rw,dsigma_ha,dsigma_h,measurement_details.low_field
437,['Sc'],lemke1994,lemke,1994,[''],dd,Sc_,None,Characterization of Transition Metal-Doped Silicon Crystals Prepared by Float Zone Technique,,"DLTS-MeCr, TS-C",Sc_dd_lemke1994_1994_None,Ec-0.5,,,978-1-56677-042-2,Assumed thermal velocity of 1e7 measured at 230K,,FZ,"boron, phosphorus",diffusion,,>1e-7/1e7,,,,,,,,,,230.0,,,,,,,Sc_i_dd.srh,>1e-7,,,,,,,
828,['Co'],lemke1994,lemke,1994,[''],a,Co_,None,Characterization of Transition Metal-Doped Silicon Crystals Prepared by Float Zone Technique,,"DLTS-MeCr, TS-C",Co_a_lemke1994_1994_None,Ec-0.41,,,978-1-56677-042-2,Assumed thermal velocity of 1e7 measured at 200K,,FZ,"boron, phosphorus",diffusion,,>2e-8/1e7,,,,,,,,,,200.0,,,,,,,Co_s_a.srh,>2e-8,,,,,,,
819,['Co'],lemke1994,lemke,1994,[''],d,Co_,None,Characterization of Transition Metal-Doped Silicon Crystals Prepared by Float Zone Technique,,"DLTS-MeCr, TS-C",Co_d_lemke1994_1994_None,,Ev+0.4,,978-1-56677-042-2,Assumed thermal velocity of 1e7 measured at 200K,,FZ,"boron, phosphorus",diffusion,,,,,,,,,7e-11/1e7,,,200.0,,,,,,,Co_s_d.srh,,7e-11,,,,,,
1233,['Ni'],lemke1994,lemke,1994,[''],a,Ni_,None,Characterization of Transition Metal-Doped Silicon Crystals Prepared by Float Zone Technique,,"DLTS-MeCr, TS-C",Ni_a_lemke1994_1994_None,,Ec-0.38,,978-1-56677-042-2,Assumed thermal velocity of 1e7 measured at 200K,,FZ,"boron, phosphorus",diffusion,,,,,,,,,,,9e-10/1e7,200.0,,,,,,,Ni_s_a.srh,9e-10,,,,,,,
1178,['Pd'],lemke1994,lemke,1994,[''],d,Pd_,None,Characterization of Transition Metal-Doped Silicon Crystals Prepared by Float Zone Technique,,"DLTS-MeCr, TS-C",Pd_d_lemke1994_1994_None,,Ev+0.29,,978-1-56677-042-2,Assumed thermal velocity of 1e7 measured at 200K,,FZ,"boron, phosphorus",diffusion,,,,,,,,,1.1e-8/1e7,,,200.0,,,,,,,Pd_s_d.srh,,1.1e-08,,,,,,
540,['Ru'],lemke1994,lemke,1994,[''],a,Ru_,None,Characterization of Transition Metal-Doped Silicon Crystals Prepared by Float Zone Technique,,"DLTS-MeCr, TS-C",Ru_a_lemke1994_1994_None,,Ec-0.14,,978-1-56677-042-2,Assumed thermal velocity of 1e7 measured at 100K,,FZ,"boron, phosphorus",diffusion,,,,,,,,,,,1.3e-9/1e7,100.0,,,,,,,Ru_i_a.srh,1.3e-09,,,,,,,
1186,['Pd'],lemke1994,lemke,1994,[''],a,Pd_,None,Characterization of Transition Metal-Doped Silicon Crystals Prepared by Float Zone Technique,,"DLTS-MeCr, TS-C",Pd_a_lemke1994_1994_None,Ec-0.2,,,978-1-56677-042-2,Assumed thermal velocity of 1e7 measured at 130K,,FZ,"boron, phosphorus",diffusion,,>3e-8/1e7,,,,,,,,,,130.0,,,,,,,Pd_s_a.srh,>3e-8,,,,,,,
202,['Rh'],lemke1994,lemke,1994,[''],d,Rh_,None,Characterization of Transition Metal-Doped Silicon Crystals Prepared by Float Zone Technique,,"DLTS-MeCr, TS-C",Rh_d_lemke1994_1994_None,Ec-0.58,,,978-1-56677-042-2,Assumed thermal velocity of 1e7 measured at 290K,,FZ,"boron, phosphorus",diffusion,,>4e-8/1e7,,,,,,,,,,290.0,,,,,,,Rh_s_d.srh,>4e-8,,,,,,,
474,['Ti'],lemke1994,lemke,1994,[''],d,Ti_,None,Characterization of Transition Metal-Doped Silicon Crystals Prepared by Float Zone Technique,,"DLTS-MeCr, TS-C",Ti_d_lemke1994_1994_None,Ec-0.27,,,978-1-56677-042-2,Assumed thermal velocity of 1e7 measured at 160K,,FZ,"boron, phosphorus",diffusion,,>2e-7/1e7,,,,,,,,,,160.0,,,,,,,Ti_i_d.srh,>2e-7,,,,,,,
440,['Sc'],lemke1994,lemke,1994,[''],d,Sc_,None,Characterization of Transition Metal-Doped Silicon Crystals Prepared by Float Zone Technique,,"DLTS-MeCr, TS-C",Sc_d_lemke1994_1994_None,Ec-0.21,,,978-1-56677-042-2,Assumed thermal velocity of 1e7 measured at 90K,,FZ,"boron, phosphorus",diffusion,,5e-8/1e7,,,,,,,,,,90.0,,,,,,,,5e-8,,,,,,,
878,['Au'],lemke1994,lemke,1994,[''],d,Au_,None,Characterization of Transition Metal-Doped Silicon Crystals Prepared by Float Zone Technique,,"DLTS-MeCr, TS-C",Au_d_lemke1994_1994_None,,Ev+0.32,,978-1-56677-042-2,Assumed thermal velocity of 1e7 measured at 170K,,FZ,"boron, phosphorus",diffusion,,,,,,,,,1.2e-8/1e7,,,170.0,,,,,,,Au_s_d.srh,,1.2e-08,,,,,,
237,['Ir'],lemke1994,lemke,1994,[''],d,Ir_,None,Characterization of Transition Metal-Doped Silicon Crystals Prepared by Float Zone Technique,,"DLTS-MeCr, TS-C",Ir_d_lemke1994_1994_None,Ec-0.62,,,978-1-56677-042-2,Assumed thermal velocity of 1e7 measured at 290K,,FZ,"boron, phosphorus",diffusion,,>6e-8/1e7,,,,,,,,,,290.0,,,,,,,Ir_i_d.srh,,,,,,,,
